Sentence,Sentiment
It's good.,1
teachers can judge us properly through this system,1
The focus on outcomes creates a clear expectation of what needs to be accomplished by the end of the course.,1
Not a good curriculum.,0
This system is really good.,1
It is quiet good,1
outcome based education teaches thinking skills and engages students more,1
When the student creates a product this in much more meaningful than answers on a test.,1
Outcome based education provides learning more similar to real world applications.,1
"With a clear sense of what needs to be accomplished, instructors will be able to structure their lessons around the student’s needs.",1
"OBE does not specify a specific method of instruction, leaving instructors free to teach their students using any method",1
its not good,0
Instructors will also be able to recognize diversity among students by using various teaching and assessment techniques during their class.,1
OBE system has been very effective for me. helping me to focus on my skills more rather than theory only.,1
It is the Best,1
OBE ensures whether we can use whatever we learn that we can use in our real life.,1
Bad format for evaluating code based courses. As programming skills do not depend on descriptive answers.Even if a student understands a topic in theory it does not mean the student will do good in practical coding.,0
OBE empowers students to take more responsibility for their own learning and supports the move to greater student engagement with the curriculum and to student-centered approaches.,1
"OBE is a powerful education strategy that should be used as a focus for curriculum planning, as a means of making informed discussions about the approaches to teaching and learning be adopted, and as a basis for the assessment of students/trainees and of the education programme itself",1
Good system.,1
this is a good system.,1
we learned a lot by attending the course.,1
OBE ensures whether we can use whatever we learn that we can use in our real life.,1
very good,1
I think OBE is really a challanging system.,1
There is lots of outcome to achive.,0
This system should be removed.,0
This should be more understandable to the students,1
This system is very good and every student should be familiar with it clearly.,1
I think it works good,1
This evalution system is good for education system and every subject need to be under OBE,1
works well,1
this a good system.. every student should follow this.,1
It is not working,0
"The outcomes based approach works best for tasks or knowledge that are easily measured, such as whether someone can drive a forklift, rather than other topics where it's more speculative or subjective and therefore harder to measure, such as whether someone is able to write good music. The obvious issue in this example is defining 'good'.",1
"The focus with the outcomes based approach is on the trainee and on them successfully achieving a specified and preferably a well-defined outcome. Therefore it is important for a systematic process to be followed, starting with a planning or analysis phase.",1
its not bad,1
OBE is good for practical & real life study base understanding.,1
It is much needed for students to evaluate their actual performance,1
i am not clear about this system,0
It helps to evaluate students performance on each course,1
"It is helping in many courses like TOC, compiler.",1
 some courses has no effect of OBE at all.i mean some courses are failing to achieve the goal of OBE.,0
But it's really a good initiative. Needs a lot improvement though.,1
No feedback.I donn't understand it at all. Thank you.,0
It's very good for overall education in a course,1
It is a good evaluation system because here student can show his creativity by presenting his/her openion in exam by his/her own logic or example.,1
OBE is a education system which is based on outcomes that is very good method in education field.,1
It helps us to learn in practical way. So we can develop us in proper way.,1
"Using this system we know about the outcome based education, used to plan the curriculum, monitor its implementation, evaluate it and assess student's achievement",1
Yes. It's a very good approach.,1
"As the outcome of a will be revealed for individual student, this approach is good to evaluate a student's course result.",1
OBE is really good way to evaluate students.,1
But it’s becomes very problematic to some courses as some courses are already hard enough to pass rather than scoring A+.,0
For me I think OBE shouldn’t be in every courses.,0
It is a good thing for education.,1
OBE means outcome based education system,1
It is very effective education systems for all students,1
.On this evaluation system we can learn a proper knowledge about real world work environment.,1
"Honestly speaking, as a student who wants to finish a course without much trouble and a strict requirement to pass a certain test, I don't want it. (Yes I know I am guilty)",0
"But after learning that, this OBE evaluation will be included in our CV and will be beneficial to us looking for jobs abroad, I have to come to accept it. It is a test I must go through even though I don't like it.",1
"Overall, OBE is quite normal. In terms of difficulty, it's a little bit harder than the average questions but it is nothing impossible. So it can be given. ",1
"The only problem I have and I think, most students have, is that the OBE test is mandatory to be passed separately along with the main test.",0
This creates a certain problem.,0
Thank you for giving me the opportunity to write out my thoughts about this system and oblige thereby.,1
I am satisfied as a student,1
I think the evaluation system does a great job.,1
There is much more to improve though.,0
It is good for student doing obe,1
not that bad of a curriculum,1
very effective and wise way of teaching and judging a student,1
OBE related course can be helpful to enrich the learning capability of students.,1
